City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
402,Marsh Harbour,26.5412,-77.0636,83.17,77,100,25.79,BS,2022-09-29 14:26:58
403,Sitka,57.0531,-135.33,57.09,94,100,3.44,US,2022-09-29 14:26:58
404,Talaya,61.3833,152.75,29.21,97,100,7.34,RU,2022-09-29 14:26:59
405,Mazagao,-0.115,-51.2894,93.25,50,8,6.04,BR,2022-09-29 14:26:59
406,Banff,51.1762,-115.5698,52.5,70,100,2.3,CA,2022-09-29 14:26:59
407,Mezen,65.8522,44.24,38.03,52,49,9.01,RU,2022-09-29 14:27:00
408,Broken Hill,-31.95,141.4333,53.62,48,0,9.26,AU,2022-09-29 14:27:00
409,Glace Bay,46.1969,-59.957,60.17,92,75,5.75,CA,2022-09-29 14:27:00
410,Port Hedland,-20.3167,118.5667,73.45,78,40,8.05,AU,2022-09-29 14:27:01
411,Bandarbeyla,9.4942,50.8122,79.97,78,18,31.47,SO,2022-09-29 14:27:02
412,Dhidhdhoo,6.8833,73.1,81.52,77,56,12.5,MV,2022-09-29 14:27:03
413,Sakakah,29.9697,40.2064,94.57,18,0,12.55,SA,2022-09-29 14:27:03
414,Road Town,18.4167,-64.6167,84.29,79,20,9.22,VG,2022-09-29 14:26:03
415,Vyartsilya,62.1764,30.693,40.6,100,100,6.26,RU,2022-09-29 14:27:04
416,Omboue,-1.5746,9.2618,81.03,69,92,9.08,GA,2022-09-29 14:27:04
